DE_00134	chr12	57140602	57140800	Abdominal aortic aneurysm	LRP1
DE_00723	chrx	857558	858158	Advanced liver disease	SHOX
DE_00010	chr10	124217002	124220400	Age-related macular degeneration	HTRA1
DE_00318	chr3	128320778	128328914	Alcoholism	"EVI1, GATA2"
DE_00806	chr3	138948982	138956382	Alzheimer disease	FOXL2
DE_00724	chrx	857558	858158	Alzheimer disease	SHOX
DE_00165	chr20	63961894	63963894	Amyotrophic lateral sclerosis	ZNF512B
DE_00009	chr11	31534353	31542527	Aniridia	PAX6
DE_00018	chr11	31676019	31679740	Aniridia	PAX6
DE_00790	chr1	47780992	47782224	Anorexia nervosa	TAL1
DE_00725	chr10	127505002	127508800	Anorexia nervosa	UROS
DE_00726	chr10	127505002	127508800	Antithrombin deficiency	UROS
DE_00289	chr3	123694802	123698000	Asthma	MYLK
DE_00122	chr17	39871802	39873000	Asthma	ORMDL3
DE_00206	chr17	39923402	39941400	Asthma	ORMDL3
DE_00727	chr10	127505002	127508800	Asthma	UROS
DE_00729	chr10	27388383	27390383	Atopic dermatitis	ANKRD26
DE_00221	chr2	70851115	70853115	Atopic dermatitis	CD207
DE_00158	chr4	110788013	110790013	Atrial fibrillation	PITX2
DE_00141	chr4	61995223	61997223	Attention-deficit/hyperactivity disorder	ADGRL3
DE_00164	chr4	61995533	61997533	Attention-deficit/hyperactivity disorder	ADGRL3
DE_00229	chr4	61995246	61997246	Attention-deficit/hyperactivity disorder	ADGRL3
DE_00728	chr10	27388383	27390383	Autism spectrum disorder	ANKRD26
DE_00731	chr10	54526602	54537800	Autism spectrum disorder	MBL2
DE_00730	chr10	51548496	51550496	Autism spectrum disorder	MSMB
DE_00207	chr5	25966202	25968000	Autism spectrum disorder	MSNP1AS
DE_00187	chr5	96936402	96937800	Autoimmune disease	ERAP2
DE_00101	chr10	6053073	6055073	Autoimmune disease	IL2RA
DE_00119	chr10	6054802	6063200	Autoimmune disease	IL2RA
DE_00120	chr10	6050202	6052200	Autoimmune disease	IL2RA
DE_00239	chr10	6051734	6053734	Autoimmune disease	IL2RA
DE_00219	chr12	2239418	2241418	Bipolar disorder	CACNA1C
DE_00732	chr10	54526602	54537800	Bipolar disorder	MBL2
DE_00032	chr1	98514539	98516539	Bipolar disorder	"MIR137, MIR2682"
DE_00319	chr3	128320778	128328914	Bladder cancer	GATA2
DE_00734	chr10	54526602	54537800	Bladder cancer	MBL2
DE_00098	chr17	73009373	73011373	Bladder cancer	ZIP11
DE_00224	chr17	73010802	73019200	Bladder cancer	ZIP11
DE_00733	chr10	54526602	54537800	Blepharophimosisptosis-epicanthus inversus syndrome	MBL2
DE_00566	chr3	140431968	140432183	Blepharophimosis syndrome	FOXL2
DE_00569	chr3	140432327	140432425	Blepharophimosis syndrome	FOXL2
DE_00570	chr3	140436096	140436391	Blepharophimosis syndrome	FOXL2
DE_00571	chr3	140435755	140435885	Blepharophimosis syndrome	FOXL2
DE_00572	chr3	140434920	140435316	Blepharophimosis syndrome	FOXL2
DE_00590	chr5	125344507	125346243	Blepharophimosis syndrome	LMNB1
DE_00591	chr5	124651163	124654187	Blepharophimosis syndrome	LMNB1
DE_00592	chr5	124708335	124710392	Blepharophimosis syndrome	LMNB1
DE_00679	chr6	137907902	137909902	Breast cancer	A20
DE_00682	chr6	137907903	137909903	Breast cancer	A20
DE_00711	chr4	99156594	99158594	Breast cancer	ADH4
DE_00712	chr4	99156733	99158733	Breast cancer	ADH4
DE_00670	chr10	46045802	46046400	Breast cancer	AGAP7
DE_00696	chr10	46050402	46055000	Breast cancer	"AGAP7, AGAP7P"
DE_00467	chr14	105217356	105219356	Breast cancer	AKT1
DE_00468	chr14	105222509	105227213	Breast cancer	AKT1
DE_00469	chr14	105269356	105271356	Breast cancer	AKT1
DE_00470	chr14	105443956	105445956	Breast cancer	AKT1
DE_00688	chr14	104778988	104780988	Breast cancer	AKT1
DE_00703	chr20	10034559	10036559	Breast cancer	ANKEF1
DE_00674	chr9	22110602	22120000	Breast cancer	ANRIL
DE_00441	chr1	26436214	26438214	Breast cancer	ARID1A
DE_00444	chr1	26797014	26799014	Breast cancer	ARID1A
DE_00447	chr1	27098214	27100214	Breast cancer	ARID1A
DE_00449	chr1	27492905	27493130	Breast cancer	ARID1A
DE_00452	chr1	27718814	27720814	Breast cancer	ARID1A
DE_00614	chr6	157038070	157044056	Breast cancer	ARID1B
DE_00615	chr6	157041045	157041390	Breast cancer	ARID1B
DE_00616	chr6	157108026	157117776	Breast cancer	ARID1B
DE_00617	chr6	157146718	157155605	Breast cancer	ARID1B
DE_00618	chr6	157389960	157390110	Breast cancer	ARID1B
DE_00368	chr11	108211820	108212010	Breast cancer	ATM
DE_00369	chr11	109962591	109964591	Breast cancer	ATM
DE_00678	chr2	60489908	60491908	Breast cancer	BCL11A
DE_00709	chr2	60497316	60499316	Breast cancer	BCL11A
DE_00708	chr12	26318629	26320629	Breast cancer	BHLHE41
DE_00507	chr17	41444875	41446875	Breast cancer	BRCA1
DE_00453	chr13	32893065	32896940	Breast cancer	BRCA2
DE_00454	chr13	33213745	33213950	Breast cancer	BRCA2
DE_00525	chr17	59365619	59367619	Breast cancer	BRIP1
DE_00526	chr17	59376219	59378219	Breast cancer	BRIP1
DE_00529	chr17	59523819	59525819	Breast cancer	BRIP1
DE_00531	chr17	59720411	59725349	Breast cancer	BRIP1
DE_00534	chr17	59788419	59790419	Breast cancer	BRIP1
DE_00550	chr20	55681846	55688363	Breast cancer	BRIP1
DE_00551	chr20	55698851	55704167	Breast cancer	BRIP1
DE_00553	chr20	55772656	55776518	Breast cancer	BRIP1
DE_00556	chr20	55826174	55830042	Breast cancer	BRIP1
DE_00675	chr2	20681202	20686000	Breast cancer	C2orf43
DE_00212	chr5	56728802	56740000	Breast cancer	C5orf35
DE_00684	chr12	2232402	2239200	Breast cancer	CACNA1C
DE_00672	chr10	12260402	12267400	Breast cancer	"CAMK1D, CDC123, CDC123/CAMK1D"
DE_00666	chr2	85530202	85554600	Breast cancer	CAPG
DE_00557	chr2	202313560	202313750	Breast cancer	CASP8
DE_00558	chr2	202899156	202901156	Breast cancer	CASP8
DE_00662	chr2	201339402	201346400	Breast cancer	CASP8
DE_00228	chr11	69515874	69517874	Breast cancer	CCND1
DE_00279	chr11	69513202	69516800	Breast cancer	CCND1
DE_00378	chr11	68859331	68897042	Breast cancer	CCND1
DE_00379	chr11	68866977	68878822	Breast cancer	CCND1
DE_00382	chr11	68879136	68884886	Breast cancer	CCND1
DE_00383	chr11	68885240	68900797	Breast cancer	CCND1
DE_00384	chr11	69048446	69053212	Breast cancer	CCND1
DE_00385	chr11	69085854	69090766	Breast cancer	CCND1
DE_00388	chr11	69190235	69194349	Breast cancer	CCND1
DE_00389	chr11	69239403	69244581	Breast cancer	CCND1
DE_00390	chr11	69244696	69268821	Breast cancer	CCND1
DE_00391	chr11	69245058	69261066	Breast cancer	CCND1
DE_00402	chr11	69277961	69307540	Breast cancer	CCND1
DE_00403	chr11	69271160	69321971	Breast cancer	CCND1
DE_00404	chr11	69312425	69323470	Breast cancer	CCND1
DE_00407	chr11	69324407	69333564	Breast cancer	CCND1
DE_00408	chr11	69321988	69364649	Breast cancer	CCND1
DE_00415	chr11	69336092	69346737	Breast cancer	CCND1
DE_00421	chr11	69388703	69392548	Breast cancer	CCND1
DE_00423	chr11	69412696	69417462	Breast cancer	CCND1
DE_00424	chr11	69414773	69423768	Breast cancer	CCND1
DE_00425	chr11	69426300	69434124	Breast cancer	CCND1
DE_00426	chr11	69463820	69465820	Breast cancer	CCND1
DE_00492	chr16	68736851	68745710	Breast cancer	CDH1
DE_00493	chr16	68735241	68752774	Breast cancer	CDH1
DE_00500	chr16	68822093	68826092	Breast cancer	CDH1
DE_00502	chr16	68829152	68834349	Breast cancer	CDH1
DE_00435	chr12	12875934	12877934	Breast cancer	CDKN1B
DE_00437	chr12	12952421	12957889	Breast cancer	CDKN1B
DE_00664	chr9	22123402	22125200	Breast cancer	"CDKN2B, CDKN2BAS, MTAP, CDKN2BAS, IFNA21"
DE_00559	chr22	29194401	29196401	Breast cancer	CHEK2
DE_00561	chr22	29203252	29220632	Breast cancer	CHEK2
DE_00562	chr22	29203240	29216422	Breast cancer	CHEK2
DE_00640	chr7	96357368	96357928	Breast cancer	"DLX6, DLX5"
DE_00054	chr6	151924219	151925969	Breast cancer	ESR1
DE_00055	chr6	151953109	151955347	Breast cancer	ESR1
DE_00056	chr6	152023958	152025191	Breast cancer	ESR1
DE_00057	chr6	152360377	152360720	Breast cancer	ESR1
DE_00606	chr6	150464708	150466708	Breast cancer	ESR1
DE_00607	chr6	151933574	151939066	Breast cancer	ESR1
DE_00608	chr6	151950495	151962787	Breast cancer	ESR1
DE_00611	chr6	152232665	152232815	Breast cancer	ESR1
DE_00681	chr6	151632602	151640600	Breast cancer	"ESR1, RMND1"
DE_00717	chr6	152110767	152112767	Breast cancer	"ESR1, RMND1"
DE_00706	chr6	151626202	151632600	Breast cancer	"ESR1, RMND1, CCDC170"
DE_00430	chr12	11880489	11886142	Breast cancer	ETV6
DE_00431	chr12	11898734	11900734	Breast cancer	ETV6
DE_00432	chr12	12034563	12039946	Breast cancer	ETV6
DE_00433	chr12	12038220	12038430	Breast cancer	ETV6
DE_00434	chr12	12036773	12041762	Breast cancer	ETV6
DE_00436	chr12	12878734	12880734	Breast cancer	ETV6
DE_00668	chr12	57769802	57772400	Breast cancer	"FAM119B, AVIL, TSFM, CYP27B1, TSPAN31"
DE_00282	chr10	121573202	121575000	Breast cancer	FGER2
DE_00669	chr5	44705396	44707396	Breast cancer	"FGF10, MRPS30, FGF10, MRPS30"
DE_00192	chr10	121579797	121581797	Breast cancer	FGFR2
DE_00201	chr10	121579918	121581918	Breast cancer	FGFR2
DE_00471	chr14	37708906	37733371	Breast cancer	FOXA1
DE_00474	chr14	38058145	38058375	Breast cancer	FOXA1
DE_00475	chr14	38106984	38130497	Breast cancer	FOXA1
DE_00476	chr14	38108679	38125791	Breast cancer	FOXA1
DE_00481	chr14	38119850	38121850	Breast cancer	FOXA1
DE_00488	chr14	38163892	38186188	Breast cancer	FOXA1
DE_00489	chr14	38165681	38186607	Breast cancer	FOXA1
DE_00665	chr9	97768002	97810800	Breast cancer	"FOXE1, PTCSC2, FOXE1"
DE_00567	chr3	140438276	140438409	Breast cancer	FOXL2
DE_00568	chr3	140438782	140438885	Breast cancer	FOXL2
DE_00573	chr3	140436467	140436614	Breast cancer	FOXL2
DE_00714	chr16	53781363	53783363	Breast cancer	FTO
DE_00715	chr16	53781840	53783840	Breast cancer	FTO
DE_00720	chr16	53781926	53783926	Breast cancer	FTO
DE_00323	chr10	6243195	6245195	Breast cancer	GATA3
DE_00325	chr10	7564821	7568759	Breast cancer	GATA3
DE_00326	chr10	7909205	7935531	Breast cancer	GATA3
DE_00328	chr10	8102395	8104395	Breast cancer	GATA3
DE_00329	chr10	8102595	8104595	Breast cancer	GATA3
DE_00332	chr10	8119020	8119170	Breast cancer	GATA3
DE_00333	chr10	8373795	8375795	Breast cancer	GATA3
DE_00334	chr10	8373195	8375195	Breast cancer	GATA3
DE_00337	chr10	8387288	8399510	Breast cancer	GATA3
DE_00339	chr10	8389356	8397544	Breast cancer	GATA3
DE_00343	chr10	8401850	8412800	Breast cancer	GATA3
DE_00344	chr10	8401306	8410446	Breast cancer	GATA3
DE_00345	chr10	8896640	8922293	Breast cancer	GATA3
DE_00347	chr10	8899954	8906744	Breast cancer	GATA3
DE_00348	chr10	8907491	8921473	Breast cancer	GATA3
DE_00355	chr10	9071354	9084876	Breast cancer	GATA3
DE_00356	chr10	9076045	9083727	Breast cancer	GATA3
DE_00361	chr10	9107600	9118560	Breast cancer	GATA3
DE_00362	chr10	9107913	9125007	Breast cancer	GATA3
DE_00363	chr10	9201012	9208989	Breast cancer	GATA3
DE_00364	chr10	9215926	9224509	Breast cancer	GATA3
DE_00365	chr10	9341068	9346440	Breast cancer	GATA3
DE_00366	chr10	9343704	9348849	Breast cancer	GATA3
DE_00705	chr3	185792802	185823800	Breast cancer	IGF2BP2
DE_00245	chr2	217041602	217062600	Breast cancer	IGFBP5
DE_00701	chr11	112154433	112156433	Breast cancer	IL-18
DE_00704	chr1	209789202	209834600	Breast cancer	IRF6
DE_00719	chr16	53793802	53796800	Breast cancer	IRX3
DE_00677	chr16	53765402	53767400	Breast cancer	"IRX3, IRX5"
DE_00663	chr7	27936402	27938200	Breast cancer	JAZF1
DE_00680	chr11	2825002	2829600	Breast cancer	KCNQ1
DE_00671	chr10	101218450	101220450	Breast cancer	LBX1
DE_00600	chr5	55710054	55714324	Breast cancer	MAP3K1
DE_00601	chr5	55711340	55711570	Breast cancer	MAP3K1
DE_00602	chr5	55714949	55731699	Breast cancer	MAP3K1
DE_00603	chr5	55782873	55786931	Breast cancer	MAP3K1
DE_00604	chr5	55827865	55834006	Breast cancer	MAP3K1
DE_00605	chr5	55964225	55972449	Breast cancer	MAP3K1
DE_00582	chr3	184917707	184919707	Breast cancer	MAP3K13
DE_00583	chr3	185215307	185217307	Breast cancer	MAP3K13
DE_00548	chr1	98514539	98516539	Breast cancer	MIR137/MIR2682
DE_00718	chr1	1134802	1167400	Breast cancer	miR-200b
DE_00710	chr6	71404918	71406918	Breast cancer	mir30a
DE_00649	chr8	130180065	130180972	Breast cancer	MYC
DE_00700	chr8	129632446	129634446	Breast cancer	MYC
DE_00707	chr8	127400060	127402060	Breast cancer	"MYC, PVT1"
DE_00650	chr8	91580464	91585421	Breast cancer	NBN
DE_00504	chr17	16123895	16128426	Breast cancer	NCOR1
DE_00505	chr17	16126613	16132237	Breast cancer	NCOR1
DE_00686	chr17	56694877	56696877	Breast cancer	NOG
DE_00683	chr1	162048402	162051400	Breast cancer	NOS1AP
DE_00652	chr9	139410587	139415679	Breast cancer	NOTCH1
DE_00655	chr9	139458834	139464059	Breast cancer	NOTCH1
DE_00656	chr9	139491580	139493580	Breast cancer	NOTCH1
DE_00657	chr9	139497593	139504595	Breast cancer	NOTCH1
DE_00658	chr9	139511833	139518922	Breast cancer	NOTCH1
DE_00660	chr9	139929765	139929935	Breast cancer	NOTCH1
DE_00176	chr1	144906202	144947800	Breast cancer	NOTCH2
DE_00699	chrX	51504931	51506931	Breast cancer	NUDT11
DE_00585	chr3	52211805	52211955	Breast cancer	PBRM1
DE_00586	chr3	52274665	52274830	Breast cancer	PBRM1
DE_00589	chr3	52731308	52733675	Breast cancer	PBRM1
DE_00661	chrX	81728473	81728883	Breast cancer	POU3F4
DE_00697	chr3	12334602	12351200	Breast cancer	PPARG
DE_00349	chr10	89867993	89880509	Breast cancer	PTEN
DE_00352	chr10	89937715	89941193	Breast cancer	PTEN
DE_00353	chr10	90143252	90153362	Breast cancer	PTEN
DE_00354	chr10	90145841	90152433	Breast cancer	PTEN
DE_00735	chr10	89621988	89623988	Breast cancer	PTEN
DE_00736	chr10	89622392	89624392	Breast cancer	PTEN
DE_00321	chr10	23507363	23509363	Breast cancer	PTF1A
DE_00322	chr10	23507446	23509446	Breast cancer	PTF1A
DE_00667	chr8	127399902	127401902	Breast cancer	PVT1
DE_00694	chr8	127310574	127312574	Breast cancer	PVT1
DE_00595	chr5	131838005	131838155	Breast cancer	RAD50
DE_00596	chr5	131891302	131893302	Breast cancer	RAD50
DE_00597	chr5	131896323	131900560	Breast cancer	RAD50
DE_00599	chr5	132108902	132110902	Breast cancer	RAD50
DE_00508	chr17	56012602	56014602	Breast cancer	RAD51C
DE_00509	chr17	56405005	56405155	Breast cancer	RAD51C
DE_00510	chr17	56490202	56492202	Breast cancer	RAD51C
DE_00511	chr17	56565325	56565475	Breast cancer	RAD51C
DE_00513	chr17	56686202	56688202	Breast cancer	RAD51C
DE_00516	chr17	56727402	56729402	Breast cancer	RAD51C
DE_00517	chr17	56817602	56819602	Breast cancer	RAD51C
DE_00518	chr17	56840602	56842602	Breast cancer	RAD51C
DE_00519	chr17	57028419	57030419	Breast cancer	RAD51C
DE_00520	chr17	57232545	57233095	Breast cancer	RAD51C
DE_00523	chr17	57287019	57289019	Breast cancer	RAD51C
DE_00524	chr17	57922149	57926561	Breast cancer	RAD51C
DE_00082	chr20	34017202	34018000	Breast cancer	RALY
DE_00138	chr20	34019202	34023000	Breast cancer	RALY
DE_00163	chr20	34059802	34065600	Breast cancer	RALY
DE_00166	chr20	34065602	34068400	Breast cancer	RALY
DE_00167	chr20	34068035	34070035	Breast cancer	RALY
DE_00294	chr20	34068572	34070572	Breast cancer	RALY
DE_00687	chr10	43085608	43087608	Breast cancer	RET
DE_00693	chr6	116887889	116889889	Breast cancer	RFX6
DE_00691	chr9	133666202	133674000	Breast cancer	SARDH
DE_00320	chr7	156583562	156584711	Breast cancer	SHH
DE_00490	chr14	60973449	60975449	Breast cancer	SIX6
DE_00702	chr18	48921602	48926800	Breast cancer	SMAD7
DE_00438	chr12	50449934	50451934	Breast cancer	SMARCD1
DE_00107	chr6	85535991	85537991	Breast cancer	SNHG5
DE_00109	chr6	85512598	85514598	Breast cancer	SNHG5
DE_00110	chr6	85547896	85549896	Breast cancer	SNHG5
DE_00243	chr6	85513335	85515335	Breast cancer	SNHG5
DE_00248	chr6	85494605	85496605	Breast cancer	SNHG5
DE_00298	chr6	85537081	85539081	Breast cancer	SNHG5
DE_00565	chr22	38379602	38445800	Breast cancer	SOX10
DE_00676	chr22	38005802	38017000	Breast cancer	SOX10
DE_00428	chr12	115108534	115114864	Breast cancer	TBX3
DE_00673	chr6	133891802	133893600	Breast cancer	TCF21
DE_00713	chr10	112997590	112999590	Breast cancer	TCF7L2
DE_00689	chr5	1285401	1287401	Breast cancer	TERT
DE_00692	chr5	1286079	1288079	Breast cancer	TERT
DE_00096	chr21	42375804	42377804	Breast cancer	TFF1
DE_00190	chr21	42375385	42377385	Breast cancer	TFF1
DE_00685	chr6	137873929	137875929	Breast cancer	TNFAIP3
DE_00204	chr16	52551429	52553429	Breast cancer	TOX3
DE_00698	chr16	52564276	52566276	Breast cancer	TOX3
DE_00537	chr17	7465277	7467277	Breast cancer	TP53
DE_00539	chr17	7533739	7540240	Breast cancer	TP53
DE_00540	chr17	7576044	7581735	Breast cancer	TP53
DE_00542	chr17	7619676	7621676	Breast cancer	TP53
DE_00690	chr22	45279797	45281797	Breast cancer	UPK3A
DE_00695	chr4	6292002	6301400	Breast cancer	WFS1
DE_00552	chr20	55698851	55704167	Bronchial asthma	BRIP1
DE_00737	chr10	89622462	89624462	Bronchial asthma	PTEN
DE_00392	chr11	69244696	69268821	Cardiac disorders	CCND1
DE_00088	chr9	22123402	22125200	Cardiovascular disease	ANRIL
DE_00131	chr13	72425787	72428335	Cardiovascular disease	DACH1
DE_00093	chr10	62684804	62686804	Celiac disease	ADO
DE_00236	chr20	46110557	46112557	Celiac disease	CD40
DE_00182	chr8	11485002	11488000	Celiac disease	FAM167A
DE_00268	chr21	44195602	44196200	Celiac disease	ICOSLG
DE_00215	chr7	128932913	128934913	Celiac disease	IRF5
DE_00196	chr10	6054802	6063200	Celiac disease	PFKFB3
DE_00259	chr10	6068602	6071200	Celiac disease	PFKFB3
DE_00741	chr11	118947402	118955800	Charcot-marie-tooth disease	HMBS
DE_00738	chr11	113845402	113846400	Charcot-marie-tooth disease	HTR3A
DE_00739	chr11	118890202	118900800	Charcot-marie-tooth disease	SLC37A4
DE_00743	chr11	1996802	2023400	Chronic granulomatous disease	H19
DE_00740	chr11	118947402	118955800	Chronic granulomatous disease	HMBS
DE_00742	chr11	124608907	124610907	Chronic granulomatous disease	NRGN
DE_00226	chr15	40104735	40106735	Chronic lymphocytic leukemia	BMF
DE_00136	chr4	144566182	144568182	Chronic obstructive pulmonary disease	HHIP
DE_00244	chr4	144565782	144567782	Chronic obstructive pulmonary disease	HHIP
DE_00004	chr17	26132301	26139107	Classic hodgkin lymphoma	NOS2
DE_00067	chr7	26135202	26143600	Classic hodgkin lymphoma	NOS2
DE_00744	chr11	1996802	2023400	Cleft lip	H19
DE_00393	chr11	69245058	69261066	Cleft palate	CCND1
DE_00396	chr11	69244696	69268821	Cleft palate	CCND1
DE_00210	chr14	53943201	53945201	Colorectal cancer	BMP4
DE_00532	chr17	59720411	59725349	Colorectal cancer	BRIP1
DE_00386	chr11	69085854	69090766	Colorectal cancer	CCND1
DE_00397	chr11	69245058	69261066	Colorectal cancer	CCND1
DE_00501	chr16	68822093	68826092	Colorectal cancer	CDH1
DE_00148	chr3	36992455	36994455	Colorectal cancer	DCLK3
DE_00610	chr6	151950495	151962787	Colorectal cancer	ESR1
DE_00160	chr12	11836402	11997800	Colorectal cancer	ETV6
DE_00483	chr14	38163892	38186188	Colorectal cancer	FOXA1
DE_00327	chr10	8067208	8071187	Colorectal cancer	GATA3
DE_00346	chr10	8896640	8922293	Colorectal cancer	GATA3
DE_00748	chr11	5248002	5248400	Colorectal cancer	HBB
DE_00749	chr11	5247402	5249402	Colorectal cancer	HBB
DE_00750	chr11	5247491	5249491	Colorectal cancer	HBB
DE_00751	chr11	5254802	5256800	Colorectal cancer	HBD
DE_00745	chr11	2181419	2183419	Colorectal cancer	INS
DE_00070	chr8	128750402	128756400	Colorectal cancer	MYC
DE_00249	chr8	127400060	127402060	Colorectal cancer	"MYC, CARLo-5, POU5F1B"
DE_00651	chr8	91580464	91585421	Colorectal cancer	NBN
DE_00581	chr3	179167707	179169707	Colorectal cancer	PIK3CA
DE_00252	chr8	127411547	127413547	Colorectal cancer	POU5F1B
DE_00080	chr8	127394198	127396198	Colorectal cancer	"POU5F1B, MYC"
DE_00747	chr11	35439976	35441976	Colorectal cancer	SLC1A2
DE_00746	chr11	2190002	2193400	Colorectal cancer	TH
DE_00304	chr16	68772402	68807200	Colorectal cancer	"TMED6, JMJD2C"
DE_00262	chr9	6364683	6366683	Colorectal cancer	"TMED6, TPD52L3, JMJD2C"
DE_00021	chr13	27523026	27725680	Colorectal cancer	USP12
DE_00135	chr5	177993908	177995908	Combined pituitary hormone deficiency	PROP1
DE_00264	chr5	177994390	177996390	Combined pituitary hormone deficiency	PROP1
DE_00533	chr17	59720411	59725349	Congenital amyelinating neuropathy	BRIP1
DE_00367	chr11	107879191	107881191	Coronary artery disease	ATM
DE_00555	chr20	55826174	55830042	Coronary artery disease	BRIP1
DE_00413	chr11	69321988	69364649	Coronary artery disease	CCND1
DE_00414	chr11	69324407	69333564	Coronary artery disease	CCND1
DE_00084	chr9	22071265	22073265	Coronary artery disease	CDKN2A
DE_00085	chr9	22075796	22077796	Coronary artery disease	CDKN2A
DE_00086	chr9	22096002	22099600	Coronary artery disease	CDKN2A
DE_00087	chr9	22101602	22110600	Coronary artery disease	CDKN2A
DE_00128	chr9	22110602	22120000	Coronary artery disease	CDKN2A
DE_00225	chr9	22093331	22095331	Coronary artery disease	CDKN2A
DE_00281	chr1	241011779	241013779	Coronary artery disease	CDKN2A
DE_00300	chr9	22072402	22073600	Coronary artery disease	CDKN2A
DE_00083	chr9	22123402	22125200	Coronary artery disease	"CDKN2A, MTAP, CDKN2B, CDKN2B-AS1"
DE_00350	chr10	89910857	89914293	Coronary artery disease	PTEN
DE_00089	chr9	22123402	22125200	Coronary heart disease	"CDKN2B, CDKN2A"
DE_00357	chr10	9071354	9084876	Coronary heart disease	GATA3
DE_00121	chr1	109273968	109275968	Coronary heart disease	SORT1
DE_00752	chr11	5254802	5256800	Cowden disease	HBD
DE_00753	chr11	5266002	5277400	Cowden disease	HBG1
DE_00754	chr11	5266002	5277400	Craniosynostosis	HBG1
DE_00095	chr10	62684804	62686804	Crohn disease	ADO
DE_00232	chr20	46110557	46112557	Crohn disease	CD40
DE_00184	chr8	11485002	11488000	Crohn disease	FAM167A
DE_00271	chr21	44195602	44196200	Crohn disease	ICOSLG
DE_00213	chr7	128932913	128934913	Crohn disease	IRF5
DE_00198	chr10	6054802	6063200	Crohn disease	PFKFB3
DE_00255	chr10	6068602	6071200	Crohn disease	PFKFB3
DE_00142	chr15	67149258	67151258	Crohn disease	SMAD3
DE_00755	chr11	5266002	5277400	Diabetes	"HBG1, HBG2"
DE_00150	chr3	137082096	137084096	Diabetic nephropathy	NCK1
DE_00171	chr14	104778988	104780988	Endometrial cancer	AKT1
DE_00358	chr10	9076045	9083727	Endometrial cancer	GATA3
DE_00359	chr10	9071354	9084876	Endometriosis	GATA3
DE_00756	chr11	5266002	5277400	Esophageal carcinoma	HBG2
DE_00293	chr12	53965802	53966600	Esophageal carcinoma	HOTAIR
DE_00022	chr13	73984215	74005603	Esophageal carcinoma	KLF5
